"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","4","1","2","0","0"
"","End to End International payment flow with Multiple Recipients - CHF","Verify the end to end flow of International payments with Multiple recipients for CHF corridor","1","0","0","0","0"
"","End to End International payment flow with Multiple Recipients - NZD","Verify the end to end flow of International payments with Multiple recipients for NZD corridor","1","0","0","0","0"
"","End to End International payment flow with Multiple Recipients - CAD","Verify the end to end flow of International payments with Multiple recipients for CAD corridor","0","0","1","0","0"
"","End to End International payment flow with Multiple Recipients - EUR","Verify the end to end flow of International payments with Multiple recipients for EUR corridor","1","0","0","0","0"
"","End to End International payment flow with Multiple Recipients - GBP","Verify the end to end flow of International payments with Multiple recipients for GBP corridor","1","0","0","0","0"
"","End to End International payment flow with Multiple Recipients - AUD","Verify the end to end flow of International payments with Multiple recipients for AUD corridor","0","0","1","0","0"
"","End to End International payment flow with Multiple Recipients - SGD","Verify the end to end flow of International payments with Multiple recipients for SGD corridor","0","1","0","0","0"
